There is a comment in this first cell -- hover your mouse over it.,,,,,,,# OF BLANK HEXES:,232,,,
"PLEASE DO NOT SORT THIS SPREADSHEET - IT SHOULD REMAIN SORTED BY HEX #, STARTING WITH HEX 0101 AND ENDING WITH HEX 2023",,,,,,,,,,,
x,y,,HEX #,Terrain,Feature,,Author,Description,Social Media Link of Choice,Encounter?,Themes
01,02,,0102,Open Countryside,,,Chris H,A stone & wood bridge connects this region of farmland to the city of [[Ogon]] to the North. Farmers's children maintain a constant watch to stop crop thieves from the nearby mountains & forest.,,,
01,03,,0103,Mountains,,,Ramanan S,"A small group of goblins make their home in the mountains and engage in banditry throughout the region. They are led by Mogden, a hulking brute of a hobgoblin.",http://save.vs.totalpartykill.ca/,,Goblins
01,04,,0104,Open Countryside,,,Gus L,"Former fields, now flower filled meadow, with the ocassional picturesque ruined farmstead.",http://dungeonofsigns.blogspot.com/,,
01,01,,0101,Town,OGON,,Matthew Schmeer,The mayor of [[Ogon]] is involved in the goblin slave trade. Goblins entering [[Ogon]] are routinely hassled and arrested for minor or trumped up charges and fined outrageous amounts. Any goblin unable to pay is given the choice of having both hands chopped off or servitude. A goblin uprising is fomenting.,http://rendedpress.blogspot.com,,Goblins
01,05,,0105,Hills / Badlands,,,Gus L,"Haunted hills of broken red stone poisoned and lifeless from exposure to the [[Baleful Sign]] atop the pillars in the desert below (0206), sifting through the crumbling rock will find some marked with strange glyphs, seared on thier surfaces by ancient heat.",http://dungeonofsigns.blogspot.com/,,Baleful Sign
01,06,,0106,Desert,,,Matthew Schmeer,4 harpies are staked to the ground with iron chains. They have been partially defeathered and covered in honey. They know a secret route between the oases in the [[Kabir Desert]]. They are also ravenous. One of the harpies wears a silver band around one of its talons.,http://rendedpress.blogspot.com,,Harpies
01,07,,0107,Hills / Badlands,,,Gus L ,"Crumbling red hills, broken rocks and ancient foundations seared clean of life by the [[Baleful Sign]] [[0206]] and haunted by the strange spirits of thier former residents, whose malevolent ghosts appear as shadow, disappearing at noon and night, and stretching, larger and stronger as the sun crosses above. ",http://dungeonofsigns.blogspot.com/,,Baleful Sign
01,08,,0108,Open Countryside,,,Gus L. ,"Meadow and grassland, the citizens of [[Angleae]] construct wooden effigies here.  Scareceows with large round heads painted white.  Hundreds of the things dot the otherwise placid land all facing the hills to the North.",http://dungeonofsigns.blogspot.com/,,Angleae
01,09,,0109,Town,ANGLEAE,,Gus L. ,"The town of [[Angleae]] has odd traditions, a secret local langauge, and its residents share a similar pale cast to the haggard features that hang beneath thier moon pale eyes. They aren't unfriendly and will trade in wool and copper, but they are unwilling to talk about thier past.  The town shrine to a moon god hides texts in the same glyphs that mark the pillars to the North ([[0206]]) with the [[Baleful Sign]] ",http://dungeonofsigns.blogspot.com/,,Baleful Sign
01,10,,0110,Open Countryside,,,Gus L. ,"Residents of [[Angleae]] graze thier flock of red and white sheep, and spiral horned goats on these meadows.  Flocks are guarded by armed shepards and accompanied by huge white dogs with warty skin that can turn aside arrows.",http://dungeonofsigns.blogspot.com/,,Angleae
