"PLEASE DO NOT SORT THIS SPREADSHEET - IT SHOULD REMAIN SORTED BY HEX # (XXYY), STARTING WITH HEX 0101 AND ENDING WITH HEX 0705.",,,,,,,,,,
Description is the only field you need to fill out. Refer to other hexes by wrapping a feature in [[ ]] or another hex key — [[BURNTFORT]] or [[0102]]. Features should be unique.,,,,,,,,,,
"The Gongburg Solitutdes are are foresaken hinterland somewhere West of the Capital, South of the Pine Hells and East of the Black Shoals.  Forgotten by men a place between others along the decaying Imperial Highway, the Solitudes are officially ungoverned and without significant military force or even patrols.  Given their own forgotten and moribund condition, the Solitudes are a fine place to hide from revenge or justice, but like most abandoned baronies of the Empire they are haunted by thier past, and secretly rich in once discarded wealth.  Marble and wool could make the Solitudes a productive demense, if they were governed by men and women of sense and vision - something utterly lacking in these fallen times.",,,,,,,,,,
x,y,,HEX #,Terrain,Feature,,Author,Description,Social Media Link of Choice,Themes
01,01,,0101,Wasteland,,,Ramanan S.,"Dilapitated hiking paths snake their way up the scenic twin peaks of the lone mountains to the North East of [[BURNTFORT]]. Near the top of the Western peak is a small near collapsing banquet hall. Its balcony provides a good view of the region. A fairly large and certainily inbred family makes their home within these ruins. They have stockpiled Imperial knicknacks and kitsch: paintings of the scenic vistas of this moutain, poorly made scultpures, ugly art featuring trite and out of fashion sayings, etc.",,"Imperial Collapse, Bumpkins"
01,02,,0102,Plains,BURNTFORT,,Gus L,"Once a hinterland garrison for the 94th Terico, then a bustling castle town that has fallen into picturesque ruin in the eon since it was bypassed by the [[IMPERIAL HIGHWAY]] and the 300 years since the marble walled White Fort itself was sacked.  The rich marble of the nearby mountains both serves as the primary building material in of the town and in the past provided commerce and trade.  Since the [[MARBLE QUARRY]] has been abandoned the few citizens of Burnt Fort content themselves with cabbage and turnip farming, intoxicating mushroom wine and cruel gossip.",,"Imperial Collapse, Intoxication"
01,03,,0103,Wasteland,,,Gus L,"Broken lands, once turned by the plow, but long abandoned by civilized man.  Dust colored rabbits and large flocks of crows seem the only inhabitants.",,Imperial Collapse
01,04,,0104,Corrupted Forest,,,Gus L,"Runoff from the [[MONOLITH OF THE MOON]]'s whispering waters has curdled the earth in this area and killed the native grasses and shrubs.  Now fleshy copses of pale fungal blooms dominate a landscape of dead earth.  The fungus is mostly poisonous, except to the grub colored, soft fleshed moondogs and other pallid monstrosities that burrow into the stalks of giant mushrooms and perch on thier caps waiting to drop on visitors and devour them.  Harvesters from [[BURNTWATCH]] cautiously pick at the edges of the fungal groves, gathering up the pale blue mooncaps that give thier town's wine it's prized hallucinagenic qualities.",,"Curdled Magic, Intoxication"
01,05,,0105,Arcane Sink,MONOLITH OF THE MOON,,Gus L,"Shunned and feared by the monks at the [[SHRINE OF THE NINTH EMPEROR]] a black iron monolith looms above the shattered plain, surrounded by a crater that has become an arcane sink filled with pale fungal life and water that whispers false futures when exposed to moonlight.",,"Lies, Imperial Collapse, Curdled Magic"
02,01,,0201,Mountain,MARBLE QUARRY,,Gus L,"[[BURNTFORT]] used to mine the fine marble of this quarry for trade, but it's distance from good roads, and the decline in even the market for decorative statuary has left the quarry abandoned except for a tiny wildcat tin mine that operates on the lowest level of the quarry.  The miners report that the maze of the greater [[MARBLE QUARRY]] proper is haunted, swarming with maddened minging automata, built on cursed stone and a place of terrible danger.",,Imperial Collapse
02,02,,0202,Farmland/Hills,,,Gus L,"A few scattered farmstead toil stolidly along the poorly graveled dirt track between [[BURNTFORT]] and the narrow passes that lead Southward towards the [[Imperial Highway]].  Most grow cabbages, though some apple orchards providing mealy green fruit and a few goat herds are also in evidence.  The residents of these lands are prey to wandering beasts and wicked men, but moil on generation after generation all the same. ",,Bumpkins
02,03,,0203,Farmland,,,Gus L,"More heavily farmed then the lands nearer [[BURNTFORT]] crudely walled thropes of four or five suspicious families cluster among cabbage fields and apple orchards.  A large windmill is noticable from the road, it's ragged sails turning listlessly above an older shell.  The anceint windmill is abandoned but none of the locals can or will give a rational explanantion for why. ",,"Bumpkins, Imperial Collapse, Lies"
02,04,,0204,Plains,,,Gus L,"Dry Plains, green only for the months of early spring strech mournfully. The Shepards of the Wool Tribes graze thier flockshere, playing thier clay pipes to each other in the evenings.",,Felt
02,05,,0205,Hills,SHRINE OF THE NINTH EMPEROR,,Gus L,"A lonely shrine atop a hill littered with carved stelle, some of them unbelieveably ancient.  In his Western Progress, the 9th Sainted Emperor ""The Bronze Masked Ponderer"", is said to have rested here for a night and declared the area ""Not too vile"".  The small bronze shrine contains relics of dubious history, kept by a suprisingly large, fervent and elderly sect of bronze masked monks in tent-like green felt robes who inhabit the honeycomb of crypts, passages and catacombs in the hill beneath the shrine.",,"Depression, Imperial Collapse, Felt"
