"PLEASE DO NOT SORT THIS SPREADSHEET - IT SHOULD REMAIN SORTED BY HEX # (XXYY), STARTING WITH HEX 0101 AND ENDING WITH HEX 0606.",,,,,,,,,,
To see what your descriptions get turned into go here: http://save.vs.totalpartykill.ca/grab-bag/hexkit/,,,,,,,,,,
Description is the only field you need to fill out. Refer to other hexes by wrapping a feature in [[ ]] or another hex key — [[CASTLE BLACK]] or [[0402]],,,,,,,,,,
x,y,,HEX #,Terrain,Feature,,Author,Description,Social Media Link of Choice,Themes
01,01,,0101,Mountains,CAVES,,Ramanan Sivaranjan,"A tribe of savages make their home in a network of caves at the base of this mountain range. Their homes are littered with super-technogolgy far beyond their comprehension, which they use as crude tools and furniture.",,
01,01,,0101,Mountains,,,Ramanan Sivaranjan,"A small monastry sits on one of the craggy peaks of this mountain range. The monks within worhship an ancient computer, it's terminal blinking waiting for its next comand.",,
01,02,,0102,Swamp Forest,TUNNELS,,Cédric Plante,A hermit shaman collect broken technogical artifacts. He(she?) can talk to the machine spirits. Secret tunnels lead to 0101. ,,
01,03,,0103,Marsh,,,,,,
01,04,,0104,Marsh,MIRE MAN,,Jürgen Mayer,"The MIre Man lives here, a grotesque bloated hybrid of elf and ooze. He tried to destroy [[OOL-LENG]], failed, and paid a terrible price. He hates everything that has bones. His territory is marked by a countless number of strange sculptures made from the broken bones of creatures that crossed his path, from frogs to unwary travelers. ",http://deadcyclops.blogspot.com/2014/07/mire-man.html,
01,05,,0105,Shroom Forest,OOL-LENG,,Jürgen Mayer,"FALSE PYRAMID OF OOL-LENG. Ool-leng is an immobile, giant, pyramid-shaped, intelligent, philosophical ooze. It longs for information about obscure subjects and rewards entities that fulfill quests on its behalf with parts of its own substance, which has various magical properties.",,
01,06,,0106,Shroom Forest,POOL OF DREAM OOZE,,Cédric Plante,Some shrooms are absorbing the spores of [[OOL-LENG]] and are growing in pyramidal grooves. This forest is a melting pot of weirdly shaped slimes and shrooms. Some native hunters know their way around the place. A trail lead to a pool of dreaming ooze. ,,
02,01,,0201,Mountains,DEAD ROC,,"Jeremy ""frothsof"" Smith","Roc corpse. Upon inspection, 2d8 bloated spiders burst from its breast. Partially digested gnome in stomach wears ring of x-ray vision.",,
02,02,,0202,Swamp Forest,,,,,,
02,03,,0203,village,VESPID,,Zedeck Siew,"VESPID. A rock outcrop rises from the surrounding mire. Lodged in its fissures: the bulb-like cement apartments of the wasp-women. A hospitable community, led by an iridescent priestess. Communal creche filled with captive humanoids - paralysed, implanted with larvae.",,
02,04,,0204,Marsh,SLUG WALLOW,,Wayne Snyder,Slug Wallow. A shallow basin 100' across and filled with stagnant slime and massive bloated slugs 10-12' in length which gorge on the fetid marsh weeds.,,
02,05,,0205,Swamp Forest,,,Ramanan Sivaranjan,"Sarria, a wasp-women from [[VESPID]], is searching the mushroom forest for a rare fungus to cure her ailling child. She will gladly accept the aid of any friendly adventurers. Any assistence provided will raise the party's standing in the village.",,
02,06,,0206,Swamp Forest,SYNDER'S OUTPOST,,Jürgen Mayer,"Vaine Synder is a hermit trapper that has built a small permanent outpost on a dry patch of the land, consisting of a couple of log cabins, a well and a field of marsh pumpkins. He is not interested in money, but will gladly trade accomodation for goods, equipment or a helping hand. He is knowlegable about all surrounding hexes, and gives information freely. There's a 1 in 6 chance that 1d3 hunters are currently staying in the outpost.",,
