X_index,Y_index,,Hex Key,Terrain,Feature,,Author,Description,URL,"Themes (eg ""Alienation"", ""Hope"", or ""Coming of age"".)"
01,01,,0101,Rocky Desert,,,Ellardin,"A gazebo, painted white and red.",,"Hopelessness, Futility"
01,02,,0102,Rocky Desert,,,Ellardin,A hidden hole in the ground will reveal a hidden underground alcove. Within the hole will be several trees that do not need sunlight and give peach fruit.,,"Fertility, secret refreshment"
01,03,,0103,Rocky Desert,,,,"An obvious tube sticks up out of the ground. This is bait, two halflings and one elf thieves are waiting in a camouflaged hole nearby to detonate a weak explosive in the tube, and make off with something in the smoke and confusion.",,
01,04,,0104,Rocky Desert,,,Ellardin,The fossilized remains of a unicorn are fused with the rocks here.,,
01,05,,0105,Rocky Desert,,,,,,
01,06,,0106,Sandy Desert,,,tipsta,10' wide pit. Does not have a bottom.,,
01,07,,0107,"Sandy Desert, Ruined Farmland, Upwind of Fallout",Greenspring,,KusoDM,Village with high tendency of mutants. Still valuable because of deep-ground spring. Occasional outbreak of zombies and sentient corn.,,Sudden Weirdness
01,08,,0108,Irradiated Wastes,,,,,,
01,09,,0109,Irradiated Wastes,Atomic Dragon,,Stagehand (mashing ideas from Discord),"
A dragon, with a heart of nuclear fire, fell from the stars here and turn this reas and the lands near it into wastes. It now recovers inside the ruins of an enormous tower of stone and metal. Pilgrims from [[Radio City]] and [[Greenspring]] leave offerings and worship the dragon.
",,"post-apocalyptic dragon lair
fallen/crippled gods
slumbering threats"
01,10,,0110,Irradiated Wastes,,,The_VolV,"Radiation Zombies shamble around, they are different from normal zombies, Can't be turned",,"Unexpected, Horror"
01,11,,0111,Irradiated Wastes,Mutant Shanty Town,,PastamanXIV,A gigantic meteor with a huge deposit of iron is mined by mutants. Its crater is massive and its arrival brought earthquakes.,,
01,12,,0112,Sand Dunes,Tricerions,,Teh_Az,"A tribe of wandering Tricerions (upright, true-sized, anthropomorphic Triceratops) are encamped here for the week, and will soon embark on their nesting journey to [[0820]]. They wield stone tools and can breath fire.",,"Sword & Sorcery, Familiar Alien Denizens, Sword & Sandal Adventures"
01,13,,0113,Sand Dunes,,,,,,
01,14,,0114,Sand Dunes,,,The_VolV,"A market place ruled by the ancient ice drinking dispenser, who found out its ability to make corrosive Oozes of several different tastes. Every other appliance in the store is terrified of it.",,"Tyranny, AI"
01,15,,0115,Sand Dunes,,,,,,
01,16,,0116,Sand Dunes,,,,,,
01,17,,0117,Sand Dunes,,,Ellardin,An abandoned hut with odd totems and parchments with dried herbs hanging from the ceiling.,,
01,18,,0118,Sand Dunes,,,,Mark of [[The Prophet]]. Painted on an old era roadsign is a PC's dark secret.,,
01,19,,0119,Sand Dunes,,,The_VolV,"There seems to be a several high tech cannons pointing to the sky, they seem to be non functional.",,Super Science
01,20,,0120,Sand Dunes,,,,,,
02,01,,0201,Rocky Desert,,,Ellardin,A band of wild horses makes this place their home.,,Calm wilderness
02,02,,0202,Rocky Desert,Thunder City,,Della,"Sun-baked ruins of an ancient metropolis of stone and metal towers, inhabited by scavenger orcs led by a powerful psion. They will trade only with those who bear their ""symbol of friendship"" (a piston carved to look like a skull), selling them relics for food and water.",,"Mad Max, but with orcs."
02,03,,0203,Rocky Desert,The Witness,,The_VolV,"City outskirts. Home to The Witness, a now-retired former second-in-command to the psion in [[Thunder City]], though he is sometimes called back into action. Thunder City Orcs sometimes paint themselves silver in emulation of this warrior.",,"Mad Max, but with orcs."
02,04,,0204,Rocky Desert,,,Sando,"A strange masked man of elongated limbs protects a fire that never seems to go out. His ruby-like glistening pupils always look at the party, independent of their position. If left alone, he gives the party a thumbs up.",,Ritournelle
02,05,,0205,Rocky Desert,,,,"Offering of [[The Prophet]]. Heaps of stones are overgrown with flowers, one for each PC. Each pile has the prefered weapon of that PC carved. The heaps of dead PCs are completely withered, those of soon-to-be dead dry and dessicated.",,
02,06,,0206,Sandy Desert,Thunderstone,,NovanIV,"A small village where they settle all disputes on the Thunderstone. They play an ancient children's card game on a mostly flat stone. Two men enter, one man dies.",,Card game anime
02,07,,0207,Sandy Desert,,,,,,
02,08,,0208,Irradiated Wastes,,,The_VolV,"An intelligent, alien pseudodragon with a nuclear-flame heart lairs here, envious of the true [[Atomic Dragon]].",,
02,09,,0209,Irradiated Wastes,,,,,,
02,10,,0210,Sandy Desert,Nomad Camps,,,Nomad tribes scavenging into the desert towards 0119. Avoids the dragon cultists at all cost.,,
02,11,,0211,Sandy Desert,,,,,,
02,12,,0212,Sandy Desert,,,,,,
02,13,,0213,Sandy Desert,,,Ellardin,"12 Mountain Men are known to travel to this area, dressed in simple garb and wielding clubs/hammers.",,
02,14,,0214,Sandy Desert,,,,"The barbarian/pleasure serving automaton, Bonk-X, is stuck upside down in sand. Will aid travellers that dig it out.",,
02,15,,0215,Sandy Desert,,,,,,
02,16,,0216,"Sandy Desert, Oasis",Mutating Oasis,,twocalf,"The waters of this oasis, while cool and refreshing, may cause mutations if they are consumed more than once per day. A tribe of Palm Trees looking over a small village of mutant farmers that tend to them, aling with groves of fig and olive trees.",,
02,17,,0217,Sandy Desert,,,NovanIV ,This area and [[1420]] are the exact same place. There is a 50% chance that anyone traveling through these hexes come out the equivalent boarder on the other part of the map.,,
02,18,,0218,Sandy Desert,,,,,,
02,19,,0219,Sandy Desert,FrostBite,,The_VolV,"An ancient pyramid of the era before, with only one living inhabitant, [[FrostBite]], a scientist supreme who escaped defeat with a bunch of his minions. Right now he is in waiting, hoping to restore his army of melting ice constructs.",,Super Science
